Date (MM/DD/YYYY),Time (HH:mm:ss),Time (Fract. Sec),Site Name,fDOM QSU,fDOM RFU,Turbidity FNU,TSS mg/L,Battery V,Cable Pwr V
9/19/2020,14:30:00,0,ND,107.02,33.46,4.33,0,2.63,0
9/19/2020,14:45:00,0,ND,106.57,33.32,0.64,0,2.63,0
9/19/2020,15:00:00,0,ND,107.05,33.47,1.4,0,2.63,0
9/19/2020,15:15:00,0,ND,106.97,33.45,0.94,0,2.63,0
9/19/2020,15:30:00,0,ND,107.91,33.75,0.82,0,2.63,0
9/19/2020,15:45:00,0,ND,108.37,33.89,0.25,0,2.63,0
9/19/2020,16:00:00,0,ND,107.59,33.65,0.27,0,2.63,0
9/19/2020,16:15:00,0,ND,107.83,33.72,0.24,0,2.63,0
9/19/2020,16:30:00,0,ND,108.48,33.93,0.14,0,2.63,0
9/19/2020,16:45:00,0,ND,108.76,34.02,0.2,0,2.63,0
9/19/2020,17:00:00,0,ND,108.7,34,0.14,0,2.63,0
9/19/2020,17:15:00,0,ND,108.6,33.97,0.28,0,2.62,0
9/19/2020,17:30:00,0,ND,108.36,33.89,0.26,0,2.62,0
9/19/2020,17:45:00,0,ND,108.2,33.84,0.12,0,2.63,0
9/19/2020,18:00:00,0,ND,108.11,33.81,0.16,0,2.62,0
9/19/2020,18:15:00,0,ND,107.98,33.77,0.55,0,2.62,0
9/19/2020,18:30:00,0,ND,108.1,33.81,0.18,0,2.62,0
9/19/2020,18:45:00,0,ND,107.93,33.75,0.16,0,2.62,0
9/19/2020,19:00:00,0,ND,107.77,33.7,0.19,0,2.62,0
9/19/2020,19:15:00,0,ND,107.94,33.76,0.3,0,2.62,0
9/19/2020,19:30:00,0,ND,107.67,33.67,0.26,0,2.62,0
9/19/2020,19:45:00,0,ND,107.67,33.67,0.36,0,2.62,0
9/19/2020,20:00:00,0,ND,107.79,33.71,0.72,0,2.62,0
9/19/2020,20:15:00,0,ND,108.1,33.81,0.53,0,2.62,0
9/19/2020,20:30:00,0,ND,108.05,33.79,0.28,0,2.61,0
9/19/2020,20:45:00,0,ND,108.24,33.86,0.56,0,2.62,0
9/19/2020,21:00:00,0,ND,108.23,33.85,0.47,0,2.62,0
9/19/2020,21:15:00,0,ND,108.62,33.98,0.74,0,2.62,0
9/19/2020,21:30:00,0,ND,108.64,33.98,0.59,0,2.61,0
9/19/2020,21:45:00,0,ND,108.67,33.99,0.32,0,2.61,0
9/19/2020,22:00:00,0,ND,108.71,34,0.64,0,2.61,0
9/19/2020,22:15:00,0,ND,108.66,33.99,0.41,0,2.61,0
9/19/2020,22:30:00,0,ND,108.89,34.06,0.35,0,2.61,0
9/19/2020,22:45:00,0,ND,108.72,34.01,0.51,0,2.61,0
9/19/2020,23:00:00,0,ND,108.82,34.04,0.26,0,2.61,0
9/19/2020,23:15:00,0,ND,108.96,34.08,0.44,0,2.61,0
9/19/2020,23:30:00,0,ND,108.92,34.07,0.4,0,2.61,0
9/19/2020,23:45:00,0,ND,109.06,34.11,0.37,0,2.61,0
9/20/2020,0:00:00,0,ND,108.9,34.06,0.28,0,2.61,0
9/20/2020,0:15:00,0,ND,109.02,34.1,0.41,0,2.61,0
9/20/2020,0:30:00,0,ND,108.94,34.08,0.26,0,2.61,0
9/20/2020,0:45:00,0,ND,109.08,34.12,0.32,0,2.61,0
9/20/2020,1:00:00,0,ND,109.09,34.13,0.46,0,2.61,0
9/20/2020,1:15:00,0,ND,108.98,34.09,0.47,0,2.61,0
9/20/2020,1:30:00,0,ND,109,34.1,0.22,0,2.6,0
9/20/2020,1:45:00,0,ND,109.17,34.15,0.19,0,2.61,0
9/20/2020,2:00:00,0,ND,109.12,34.13,0.53,0,2.6,0
9/20/2020,2:15:00,0,ND,109.3,34.19,0.36,0,2.61,0
9/20/2020,2:30:00,0,ND,109.36,34.21,0.36,0,2.6,0
9/20/2020,2:45:00,0,ND,109.21,34.16,0.35,0,2.61,0
9/20/2020,3:00:00,0,ND,109.38,34.22,0.36,0,2.6,0
9/20/2020,3:15:00,0,ND,109.3,34.19,0.16,0,2.6,0
9/20/2020,3:30:00,0,ND,109.38,34.22,0.59,0,2.6,0
9/20/2020,3:45:00,0,ND,109.55,34.27,0.44,0,2.6,0
9/20/2020,4:00:00,0,ND,109.5,34.26,0.26,0,2.6,0
9/20/2020,4:15:00,0,ND,109.47,34.25,0.28,0,2.6,0
9/20/2020,4:30:00,0,ND,109.68,34.31,0.22,0,2.6,0
9/20/2020,4:45:00,0,ND,109.65,34.3,0.29,0,2.6,0
9/20/2020,5:00:00,0,ND,109.51,34.26,0.47,0,2.6,0
9/20/2020,5:15:00,0,ND,109.66,34.31,0.34,0,2.6,0
9/20/2020,5:30:00,0,ND,109.63,34.3,0.61,0,2.6,0
9/20/2020,5:45:00,0,ND,109.75,34.34,0.47,0,2.6,0
9/20/2020,6:00:00,0,ND,109.79,34.35,0.4,0,2.6,0
9/20/2020,6:15:00,0,ND,109.76,34.34,0.21,0,2.6,0
9/20/2020,6:30:00,0,ND,109.67,34.31,0.44,0,2.6,0
9/20/2020,6:45:00,0,ND,109.73,34.33,0.44,0,2.6,0
9/20/2020,7:00:00,0,ND,109.73,34.33,0.66,0,2.6,0
9/20/2020,7:15:00,0,ND,109.9,34.38,0.43,0,2.6,0
9/20/2020,7:30:00,0,ND,109.58,34.28,0.44,0,2.59,0
9/20/2020,7:45:00,0,ND,110.28,34.5,0.4,0,2.6,0
9/20/2020,8:00:00,0,ND,109.67,34.31,0.48,0,2.59,0
9/20/2020,8:15:00,0,ND,110.15,34.46,0.26,0,2.6,0
9/20/2020,8:30:00,0,ND,109.97,34.41,0.53,0,2.59,0
9/20/2020,8:45:00,0,ND,109.86,34.37,0.37,0,2.59,0
9/20/2020,9:00:00,0,ND,109.94,34.4,0.29,0,2.59,0
9/20/2020,9:15:00,0,ND,110.21,34.48,0.23,0,2.59,0
9/20/2020,9:30:00,0,ND,109.94,34.4,0.37,0,2.59,0
9/20/2020,9:45:00,0,ND,110.58,34.6,0.24,0,2.59,0
9/20/2020,10:00:00,0,ND,110.98,34.73,0.19,0,2.59,0
9/20/2020,10:15:00,0,ND,110.03,34.43,0.61,0,2.59,0
9/20/2020,10:30:00,0,ND,112.24,35.13,0.01,0,2.59,0
9/20/2020,10:45:00,0,ND,110.04,34.43,0.03,0,2.6,0
9/20/2020,11:00:00,0,ND,109.29,34.19,0.44,0,2.59,0
9/20/2020,11:15:00,0,ND,109.16,34.15,0.4,0,2.6,0
9/20/2020,11:30:00,0,ND,109.12,34.13,0.14,0,2.59,0
9/20/2020,11:45:00,0,ND,108.24,33.85,0.35,0,2.6,0
9/20/2020,12:00:00,0,ND,108.91,34.07,0.43,0,2.59,0
9/20/2020,12:15:00,0,ND,108.46,33.92,0.18,0,2.59,0
9/20/2020,12:30:00,0,ND,107.65,33.67,0.53,0,2.59,0
9/20/2020,12:45:00,0,ND,108.33,33.88,0.18,0,2.6,0
9/20/2020,13:00:00,0,ND,107.76,33.7,0.38,0,2.6,0
9/20/2020,13:15:00,0,ND,108.31,33.88,0.09,0,2.6,0
9/20/2020,13:30:00,0,ND,108.34,33.89,0.35,0,2.6,0
9/20/2020,13:45:00,0,ND,107.38,33.58,0.62,0,2.6,0
9/20/2020,14:00:00,0,ND,107.64,33.66,0.05,0,2.6,0
9/20/2020,14:15:00,0,ND,106.83,33.4,0.17,0,2.6,0
9/20/2020,14:30:00,0,ND,106.92,33.43,0.42,0,2.6,0
9/20/2020,14:45:00,0,ND,106.75,33.38,0.36,0,2.6,0
9/20/2020,15:00:00,0,ND,106.79,33.39,0.17,0,2.6,0
9/20/2020,15:15:00,0,ND,106.33,33.24,0.69,0,2.6,0
9/20/2020,15:30:00,0,ND,106.05,33.15,0.27,0,2.6,0
9/20/2020,15:45:00,0,ND,106.82,33.4,0.08,0,2.6,0
9/20/2020,16:00:00,0,ND,106.71,33.36,0.2,0,2.59,0
9/20/2020,16:15:00,0,ND,106.15,33.19,0.06,0,2.6,0
9/20/2020,16:30:00,0,ND,107.03,33.47,0.18,0,2.6,0
9/20/2020,16:45:00,0,ND,107.33,33.56,0.03,0,2.6,0
9/20/2020,17:00:00,0,ND,107.68,33.68,0.16,0,2.59,0
9/20/2020,17:15:00,0,ND,107.21,33.52,0.05,0,2.59,0
9/20/2020,17:30:00,0,ND,107.42,33.59,0.02,0,2.59,0
9/20/2020,17:45:00,0,ND,106.93,33.43,0.18,0,2.59,0
9/20/2020,18:00:00,0,ND,107.9,33.75,0.14,0,2.59,0
9/20/2020,18:15:00,0,ND,108.31,33.88,0.2,0,2.6,0
9/20/2020,18:30:00,0,ND,108.38,33.9,0.11,0,2.59,0
9/20/2020,18:45:00,0,ND,108.39,33.9,0.26,0,2.59,0
9/20/2020,19:00:00,0,ND,108.38,33.9,0.18,0,2.59,0
9/20/2020,19:15:00,0,ND,108.33,33.88,0.05,0,2.59,0
9/20/2020,19:30:00,0,ND,108.54,33.95,0.12,0,2.59,0
9/20/2020,19:45:00,0,ND,108.4,33.91,0.13,0,2.59,0
9/20/2020,20:00:00,0,ND,108.34,33.89,0.6,0,2.59,0
9/20/2020,20:15:00,0,ND,108.38,33.9,0.37,0,2.58,0
9/20/2020,20:30:00,0,ND,108.54,33.95,0.19,0,2.59,0
9/20/2020,20:45:00,0,ND,108.47,33.93,0.09,0,2.58,0
9/20/2020,21:00:00,0,ND,108.68,33.99,0.13,0,2.58,0
9/20/2020,21:15:00,0,ND,108.73,34.01,0.21,0,2.59,0
9/20/2020,21:30:00,0,ND,108.71,34,0.31,0,2.58,0
9/20/2020,21:45:00,0,ND,108.82,34.04,0.14,0,2.59,0
9/20/2020,22:00:00,0,ND,108.93,34.07,0.29,0,2.58,0
9/20/2020,22:15:00,0,ND,108.99,34.09,0.45,0,2.59,0
9/20/2020,22:30:00,0,ND,109.07,34.12,0.18,0,2.58,0
9/20/2020,22:45:00,0,ND,109.19,34.16,0.46,0,2.58,0
9/20/2020,23:00:00,0,ND,109.46,34.24,0.45,0,2.58,0
9/20/2020,23:15:00,0,ND,109.36,34.21,0.32,0,2.58,0
9/20/2020,23:30:00,0,ND,109.38,34.22,0.36,0,2.58,0
9/20/2020,23:45:00,0,ND,109.24,34.17,0.32,0,2.58,0
9/21/2020,0:00:00,0,ND,109.3,34.19,0.38,0,2.58,0
9/21/2020,0:15:00,0,ND,109.24,34.17,0.29,0,2.58,0
9/21/2020,0:30:00,0,ND,109.33,34.2,0.3,0,2.58,0
9/21/2020,0:45:00,0,ND,109.33,34.2,0.32,0,2.58,0
9/21/2020,1:00:00,0,ND,109.44,34.24,0.38,0,2.58,0
9/21/2020,1:15:00,0,ND,109.49,34.25,0.14,0,2.58,0
9/21/2020,1:30:00,0,ND,109.36,34.21,0.25,0,2.58,0
9/21/2020,1:45:00,0,ND,109.43,34.23,0.34,0,2.58,0
9/21/2020,2:00:00,0,ND,109.56,34.28,0.38,0,2.58,0
9/21/2020,2:15:00,0,ND,109.56,34.28,0.28,0,2.58,0
9/21/2020,2:30:00,0,ND,109.53,34.27,0.38,0,2.58,0
9/21/2020,2:45:00,0,ND,109.73,34.33,0.31,0,2.58,0
9/21/2020,3:00:00,0,ND,109.68,34.31,0.12,0,2.58,0
9/21/2020,3:15:00,0,ND,109.78,34.35,0.28,0,2.58,0
9/21/2020,3:30:00,0,ND,109.83,34.36,0.12,0,2.58,0
9/21/2020,3:45:00,0,ND,109.86,34.37,0.32,0,2.58,0
9/21/2020,4:00:00,0,ND,109.94,34.4,0.29,0,2.58,0
9/21/2020,4:15:00,0,ND,109.78,34.35,0.35,0,2.58,0
9/21/2020,4:30:00,0,ND,109.92,34.39,0.32,0,2.58,0
9/21/2020,4:45:00,0,ND,109.86,34.37,0.2,0,2.58,0
9/21/2020,5:00:00,0,ND,110.02,34.42,0.31,0,2.58,0
9/21/2020,5:15:00,0,ND,110.13,34.46,0.12,0,2.58,0
9/21/2020,5:30:00,0,ND,109.95,34.4,0.45,0,2.58,0
9/21/2020,5:45:00,0,ND,110.03,34.42,0.33,0,2.58,0
9/21/2020,6:00:00,0,ND,109.84,34.36,0.33,0,2.58,0
9/21/2020,6:15:00,0,ND,110.25,34.5,0.21,0,2.58,0
9/21/2020,6:30:00,0,ND,110.19,34.48,0.39,0,2.58,0
9/21/2020,6:45:00,0,ND,109.7,34.32,0.28,0,2.58,0
9/21/2020,7:00:00,0,ND,109.95,34.4,-0.04,0,2.58,0
9/21/2020,7:15:00,0,ND,109.99,34.41,0.13,0,2.57,0
9/21/2020,7:30:00,0,ND,110.57,34.6,0.02,0,2.57,0
9/21/2020,7:45:00,0,ND,110.1,34.45,0.12,0,2.58,0
9/21/2020,8:00:00,0,ND,109.94,34.4,0.37,0,2.57,0
9/21/2020,8:15:00,0,ND,110.15,34.46,0.5,0,2.57,0
9/21/2020,8:30:00,0,ND,110.58,34.6,0.14,0,2.57,0
9/21/2020,8:45:00,0,ND,110.52,34.58,0.18,0,2.58,0
9/21/2020,9:00:00,0,ND,110.52,34.58,0.21,0,2.57,0
9/21/2020,9:15:00,0,ND,110.64,34.62,0.24,0,2.58,0
9/21/2020,9:30:00,0,ND,110.45,34.56,0.22,0,2.57,0
9/21/2020,9:45:00,0,ND,110.9,34.7,0.12,0,2.58,0
9/21/2020,10:00:00,0,ND,110.96,34.72,0.06,0,2.57,0
9/21/2020,10:15:00,0,ND,110.61,34.61,0.31,0,2.58,0
9/21/2020,10:30:00,0,ND,111.68,34.95,0.08,0,2.57,0
9/21/2020,10:45:00,0,ND,112.76,35.3,0.02,0,2.58,0
9/21/2020,11:00:00,0,ND,109.27,34.18,0.13,0,2.57,0
9/21/2020,11:15:00,0,ND,109.08,34.12,0.23,0,2.58,0
9/21/2020,11:30:00,0,ND,110.29,34.51,0.12,0,2.57,0
9/21/2020,11:45:00,0,ND,110.7,34.64,-0.04,0,2.58,0
9/21/2020,12:00:00,0,ND,109.51,34.26,0.18,0,2.57,0
9/21/2020,12:15:00,0,ND,109.12,34.13,0.09,0,2.58,0
9/21/2020,12:30:00,0,ND,108.9,34.06,-0.06,0,2.58,0
9/21/2020,12:45:00,0,ND,109.25,34.18,-0.06,0,2.58,0
9/21/2020,13:00:00,0,ND,109,34.1,0.03,0,2.58,0
9/21/2020,13:15:00,0,ND,108.73,34.01,-0.02,0,2.58,0
9/21/2020,13:30:00,0,ND,108.48,33.93,0.06,0,2.58,0
9/21/2020,13:45:00,0,ND,107.81,33.72,-0.03,0,2.58,0
9/21/2020,14:00:00,0,ND,108.51,33.94,-0.03,0,2.58,0
9/21/2020,14:15:00,0,ND,107.72,33.69,0.01,0,2.58,0
9/21/2020,14:30:00,0,ND,107.01,33.46,0.47,0,2.58,0
9/21/2020,14:45:00,0,ND,107.4,33.59,0.72,0,2.58,0
9/21/2020,15:00:00,0,ND,107.52,33.62,0.18,0,2.58,0
9/21/2020,15:15:00,0,ND,107.54,33.63,-0.01,0,2.58,0
9/21/2020,15:30:00,0,ND,107.01,33.46,0.06,0,2.58,0
9/21/2020,15:45:00,0,ND,107.69,33.68,0,0,2.58,0
9/21/2020,16:00:00,0,ND,107.61,33.65,-0.06,0,2.58,0
9/21/2020,16:15:00,0,ND,107.69,33.68,-0.08,0,2.58,0
9/21/2020,16:30:00,0,ND,107.57,33.64,0.07,0,2.58,0
9/21/2020,16:45:00,0,ND,107.27,33.54,-0.04,0,2.58,0
9/21/2020,17:00:00,0,ND,107.44,33.6,-0.12,0,2.58,0
9/21/2020,17:15:00,0,ND,107.36,33.57,-0.11,0,2.58,0
9/21/2020,17:30:00,0,ND,107.22,33.53,-0.03,0,2.57,0
9/21/2020,17:45:00,0,ND,107.49,33.61,-0.02,0,2.58,0
9/21/2020,18:00:00,0,ND,107.32,33.56,0.09,0,2.58,0
9/21/2020,18:15:00,0,ND,107.59,33.65,0.08,0,2.58,0
9/21/2020,18:30:00,0,ND,107.83,33.72,0.06,0,2.58,0
9/21/2020,18:45:00,0,ND,107.86,33.73,0.08,0,2.58,0
9/21/2020,19:00:00,0,ND,107.92,33.75,0.05,0,2.57,0
9/21/2020,19:15:00,0,ND,108.03,33.79,0.01,0,2.58,0
9/21/2020,19:30:00,0,ND,108.08,33.8,0.59,0,2.57,0
9/21/2020,19:45:00,0,ND,108.12,33.82,0.09,0,2.57,0
9/21/2020,20:00:00,0,ND,108.1,33.81,0.2,0,2.57,0
9/21/2020,20:15:00,0,ND,108.26,33.86,0.17,0,2.57,0
9/21/2020,20:30:00,0,ND,108.37,33.9,0.12,0,2.57,0
9/21/2020,20:45:00,0,ND,108.33,33.88,0.16,0,2.57,0
9/21/2020,21:00:00,0,ND,108.51,33.94,0.03,0,2.57,0
9/21/2020,21:15:00,0,ND,108.58,33.96,0.21,0,2.57,0
9/21/2020,21:30:00,0,ND,108.58,33.96,0.51,0,2.57,0
9/21/2020,21:45:00,0,ND,108.85,34.05,0.41,0,2.57,0
9/21/2020,22:00:00,0,ND,108.78,34.03,0.28,0,2.57,0
9/21/2020,22:15:00,0,ND,108.9,34.06,0.56,0,2.57,0
9/21/2020,22:30:00,0,ND,108.86,34.05,0.13,0,2.56,0
9/21/2020,22:45:00,0,ND,109.04,34.11,0.17,0,2.57,0
9/21/2020,23:00:00,0,ND,109.06,34.11,0.39,0,2.57,0
9/21/2020,23:15:00,0,ND,109.12,34.14,0.08,0,2.57,0
9/21/2020,23:30:00,0,ND,109.19,34.16,0.32,0,2.56,0
9/21/2020,23:45:00,0,ND,109.23,34.17,0.02,0,2.57,0
9/22/2020,0:00:00,0,ND,109.39,34.22,0.06,0,2.56,0
9/22/2020,0:15:00,0,ND,109.97,34.41,0.22,0,2.56,0
9/22/2020,0:30:00,0,ND,109.65,34.3,0.24,0,2.56,0
9/22/2020,0:45:00,0,ND,109.64,34.3,0,0,2.57,0
9/22/2020,1:00:00,0,ND,109.78,34.35,0.5,0,2.56,0
9/22/2020,1:15:00,0,ND,109.68,34.31,0.03,0,2.56,0
9/22/2020,1:30:00,0,ND,109.8,34.35,0.35,0,2.56,0
9/22/2020,1:45:00,0,ND,109.83,34.36,0.09,0,2.57,0
9/22/2020,2:00:00,0,ND,109.87,34.38,0.18,0,2.56,0
9/22/2020,2:15:00,0,ND,109.86,34.37,0.21,0,2.56,0
9/22/2020,2:30:00,0,ND,109.84,34.36,0.27,0,2.56,0
9/22/2020,2:45:00,0,ND,110,34.42,0.46,0,2.57,0
9/22/2020,3:00:00,0,ND,110.02,34.42,0.12,0,2.56,0
9/22/2020,3:15:00,0,ND,109.98,34.41,0.09,0,2.56,0
9/22/2020,3:30:00,0,ND,109.96,34.4,0.27,0,2.56,0
9/22/2020,3:45:00,0,ND,110.14,34.46,0.13,0,2.56,0
9/22/2020,4:00:00,0,ND,110.13,34.46,0.11,0,2.56,0
9/22/2020,4:15:00,0,ND,110.19,34.48,0.15,0,2.56,0
9/22/2020,4:30:00,0,ND,110.16,34.47,0.16,0,2.56,0
9/22/2020,4:45:00,0,ND,110.36,34.53,0.06,0,2.56,0
9/22/2020,5:00:00,0,ND,110.24,34.49,0.09,0,2.56,0
9/22/2020,5:15:00,0,ND,110.14,34.46,0.12,0,2.56,0
9/22/2020,5:30:00,0,ND,110.27,34.5,0.26,0,2.56,0
9/22/2020,5:45:00,0,ND,110.32,34.52,0.23,0,2.56,0
9/22/2020,6:00:00,0,ND,110.45,34.56,0.19,0,2.56,0
9/22/2020,6:15:00,0,ND,110.42,34.55,0.06,0,2.56,0
9/22/2020,6:30:00,0,ND,110,34.42,0.4,0,2.56,0
9/22/2020,6:45:00,0,ND,110.28,34.51,0.12,0,2.56,0
9/22/2020,7:00:00,0,ND,110.26,34.5,0.26,0,2.56,0
9/22/2020,7:15:00,0,ND,110.22,34.49,0.33,0,2.56,0
9/22/2020,7:30:00,0,ND,109.73,34.33,0.36,0,2.56,0
9/22/2020,7:45:00,0,ND,110.3,34.51,0.3,0,2.56,0
9/22/2020,8:00:00,0,ND,110.53,34.59,0.24,0,2.56,0
9/22/2020,8:15:00,0,ND,110.28,34.51,0.12,0,2.56,0
9/22/2020,8:30:00,0,ND,110.44,34.56,0.48,0,2.55,0
9/22/2020,8:45:00,0,ND,110.18,34.47,0.13,0,2.56,0
9/22/2020,9:00:00,0,ND,110.13,34.46,0.17,0,2.56,0
9/22/2020,9:15:00,0,ND,110.85,34.69,0.06,0,2.56,0
9/22/2020,9:30:00,0,ND,110.55,34.59,0.29,0,2.55,0
9/22/2020,9:45:00,0,ND,110.92,34.71,-0.05,0,2.56,0
9/22/2020,10:00:00,0,ND,111.5,34.9,-0.09,0,2.55,0
9/22/2020,10:15:00,0,ND,112.02,35.06,-0.1,0,2.56,0
9/22/2020,10:30:00,0,ND,109.75,34.34,0.01,0,2.55,0
9/22/2020,10:45:00,0,ND,100.81,31.48,0.15,0,2.56,0
9/22/2020,11:00:00,0,ND,108.95,34.08,0.01,0,2.55,0
9/22/2020,11:15:00,0,ND,110.02,34.42,-0.05,0,2.56,0
9/22/2020,11:30:00,0,ND,109.49,34.25,0.1,0,2.56,0
9/22/2020,11:45:00,0,ND,109.99,34.41,-0.04,0,2.56,0
9/22/2020,12:00:00,0,ND,109.99,34.41,-0.07,0,2.56,0
9/22/2020,12:15:00,0,ND,109.84,34.36,0.03,0,2.56,0
9/22/2020,12:30:00,0,ND,109.5,34.26,0.08,0,2.56,0
9/22/2020,12:45:00,0,ND,109.46,34.24,-0.04,0,2.56,0
9/22/2020,13:00:00,0,ND,109.32,34.2,0,0,2.56,0
9/22/2020,13:15:00,0,ND,108.82,34.04,-0.06,0,2.56,0
9/22/2020,13:30:00,0,ND,108.34,33.89,-0.06,0,2.56,0
9/22/2020,13:45:00,0,ND,108.24,33.85,0.02,0,2.57,0
9/22/2020,14:00:00,0,ND,107.74,33.69,0.22,0,2.56,0
9/22/2020,14:15:00,0,ND,108.56,33.96,0.03,0,2.57,0
9/22/2020,14:30:00,0,ND,108.09,33.8,-0.05,0,2.56,0
9/22/2020,14:45:00,0,ND,107.51,33.62,-0.03,0,2.57,0
9/22/2020,15:00:00,0,ND,107.28,33.55,0.18,0,2.57,0
9/22/2020,15:15:00,0,ND,107.45,33.6,-0.07,0,2.57,0
9/22/2020,15:30:00,0,ND,107.53,33.63,0.12,0,2.57,0
9/22/2020,15:45:00,0,ND,106.67,33.35,0.04,0,2.57,0
9/22/2020,16:00:00,0,ND,106.93,33.43,-0.07,0,2.57,0
9/22/2020,16:15:00,0,ND,106.7,33.36,-0.09,0,2.57,0
9/22/2020,16:30:00,0,ND,106.9,33.43,-0.14,0,2.57,0
9/22/2020,16:45:00,0,ND,107.09,33.49,-0.06,0,2.57,0
